x,y,z
12.0551,-0.918381,7
12.0767,-1.51345,5
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-8.95582,-18.5632,8
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1163,-3.34766,7
11.9847,-18.4914,10
10.6062,-17.5982,9
10.8824,-17.5594,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.7859,-12.3711,28
12.0551,-0.918381,7
12.0767,-1.51345,5
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-8.95582,-18.5632,8
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1163,-3.34766,7
11.9847,-18.4914,10
10.6062,-17.5982,9
10.8824,-17.5594,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.7859,-12.3711,28
12.0551,-0.918381,7
12.0767,-1.51345,5
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-8.95582,-18.5632,8
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1163,-3.34766,7
11.9847,-18.4914,10
10.6062,-17.5982,9
10.8824,-17.5594,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.7859,-12.3711,28
12.0551,-0.918381,7
12.0767,-1.51345,5
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-8.95582,-18.5632,8
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1163,-3.34766,7
11.9847,-18.4914,10
10.6062,-17.5982,9
10.8824,-17.5594,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.7859,-12.3711,28
12.0551,-0.918381,7
12.0767,-1.51345,5
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-8.95582,-18.5632,8
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1163,-3.34766,7
11.9847,-18.4914,10
10.6062,-17.5982,9
10.8824,-17.5594,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.7859,-12.3711,28
12.0551,-0.918381,7
12.0767,-1.51345,5
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-8.95582,-18.5632,8
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1163,-3.34766,7
11.9847,-18.4914,10
10.6062,-17.5982,9
10.8824,-17.5594,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.7859,-12.3711,28
12.0551,-0.918381,7
12.0767,-1.51345,5
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-8.95582,-18.5632,8
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1163,-3.34766,7
11.9847,-18.4914,10
10.6062,-17.5982,9
10.8824,-17.5594,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.7859,-12.3711,28
12.0551,-0.918381,7
12.0767,-1.51345,5
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-8.95582,-18.5632,8
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1163,-3.34766,7
11.9847,-18.4914,10
10.6062,-17.5982,9
10.8824,-17.5594,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.7859,-12.3711,28
12.0551,-0.918381,7
12.0767,-1.51345,5
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-8.95582,-18.5632,8
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1163,-3.34766,7
11.9847,-18.4914,10
10.6062,-17.5982,9
10.8824,-17.5594,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.7859,-12.3711,28
12.0551,-0.918381,7
12.0767,-1.51345,5
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-8.95582,-18.5632,8
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1163,-3.34766,7
11.9847,-18.4914,10
10.6062,-17.5982,9
10.8824,-17.5594,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.7859,-12.3711,28
12.0872,-1.55662,5
12.0551,-0.918381,7
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1163,-3.26199,7
10.5619,-17.6005,9
11.9847,-18.4914,10
10.8824,-17.5594,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.879,-8.22277,8
-11.7859,-12.3711,28
12.0872,-1.55662,5
12.0551,-0.918381,7
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1163,-3.26199,7
10.5619,-17.6005,9
11.9847,-18.4914,10
10.8824,-17.5594,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.879,-8.22277,8
-11.7859,-12.3711,28
12.0872,-1.55662,5
12.0551,-0.918381,7
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1221,-3.28089,7
10.5619,-17.6005,9
11.9847,-18.4914,10
10.8196,-17.5543,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.879,-8.22277,8
-11.7859,-12.3711,28
12.0872,-1.55662,5
12.0551,-0.918381,7
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1221,-3.28089,7
10.5619,-17.6005,9
11.9847,-18.4914,10
10.8196,-17.5543,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.879,-8.22277,8
-11.7859,-12.3711,28
12.0872,-1.55662,5
12.0551,-0.918381,7
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1221,-3.28089,7
10.5619,-17.6005,9
11.9847,-18.4914,10
10.8196,-17.5543,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.879,-8.22277,8
-11.7859,-12.3711,28
12.0872,-1.55662,5
12.0551,-0.918381,7
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1221,-3.28089,7
10.5619,-17.6005,9
11.9847,-18.4914,10
10.8196,-17.5543,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.879,-8.22277,8
-11.7859,-12.3711,28
12.0872,-1.55662,5
12.0551,-0.918381,7
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1221,-3.28089,7
10.5619,-17.6005,9
11.9847,-18.4914,10
10.8196,-17.5543,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.879,-8.22277,8
-11.7859,-12.3711,28
12.0872,-1.55662,5
12.0551,-0.918381,7
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1221,-3.28089,7
10.5619,-17.6005,9
11.9847,-18.4914,10
10.8196,-17.5543,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.879,-8.22277,8
-11.7859,-12.3711,28
12.0872,-1.55662,5
12.0551,-0.918381,7
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1221,-3.28089,7
10.5619,-17.6005,9
11.9847,-18.4914,10
10.8196,-17.5543,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.879,-8.22277,8
-11.7859,-12.3711,28
12.0872,-1.55662,5
12.0551,-0.918381,7
-11.7359,-18.7699,10
-10.4609,-18.5532,8
-6.8202,-18.414,9
-10.4753,-18.5496,9
-6.83155,-18.4047,10
-12.1221,-3.28089,7
10.5619,-17.6005,9
11.9847,-18.4914,10
10.8196,-17.5543,8
-11.6968,-12.4755,8
-12.1178,-5.34423,7
-11.879,-8.22277,8
-11.7859,-12.3711,28
12.0872,-1.55662,5
12.0551,-0.918381,7
-11.7359,-18.7699,10
-10.4609,-18.5532,8
