x,y,z
11.8629,-18.5511,39
-12.4802,-18.069,33
11.8267,-12.4309,37
12.0461,-6.20363,100
11.9369,-12.4021,38
11.8902,-10.0207,100
11.9666,-6.22599,33
11.9837,-12.2137,35
2.1606,-19.028,34
-2.48553,-17.8901,60
-0.42812,-18.0546,39
12.0889,-18.4641,30
6.0874,-19.05,40
-12.1833,-11.5363,30
-12.4499,-11.4265,34
-12.3067,-5.49462,45
-12.4479,-11.4727,38
-12.4003,-5.72147,34
-12.1604,-5.49865,100
-12.1078,0.485172,43
-12.1235,0.476663,100
-12.1284,0.507284,41
12.3306,-0.432665,30
12.181,-0.246623,32
11.9986,-3.90513,75
12.1796,-0.278799,33
12.4803,6.35678,40
12.579,6.26779,30
12.6975,11.874,30
12.853,11.7339,31
0.775276,18.554,30
0.713433,18.5669,31
-11.5431,19.1041,31
-11.7946,19.0269,30
-11.8795,7.02136,34
-11.7929,7.18384,39
-11.9557,12.6175,30
-11.8706,12.6797,38
6.41331,18.2626,100
