x,y,z
11.8308,-18.5587,5.72136
-12.5465,-17.802,5.22022
12.1619,-12.1343,5.86373
12.0374,-6.15079,5.17737
12.1619,-12.1343,5.86373
11.8564,-9.9139,3.03341
12.0374,-6.15079,5.17737
12.1619,-12.1343,5.86373
1.94085,-18.9149,2.8963
-1.57075,-17.9195,4.2779
-0.385561,-18.0751,5.72455
11.8308,-18.5587,5.72136
6.18356,-19.0446,2.73472
-12.3615,-11.4427,5.80393
-12.3615,-11.4427,5.80393
-12.2552,-5.5014,4.8174
-12.3615,-11.4427,5.80393
-12.2552,-5.5014,4.8174
-12.2552,-5.5014,4.8174
-11.6813,0.645568,5.90158
-11.6813,0.645568,5.90158
-11.6813,0.645568,5.90158
12.4646,-0.569242,4.50099
12.4646,-0.569242,4.50099
11.9636,-3.82414,3.26212
12.4646,-0.569242,4.50099
12.4733,6.36567,4.62674
12.4733,6.36567,4.62674
12.9282,11.7462,5.79494
12.9282,11.7462,5.79494
0.512562,18.5594,4.75831
0.512562,18.5594,4.75831
-11.5446,19.0422,5.68444
-11.5446,19.0422,5.68444
-11.8603,7.18102,3.66819
-11.8603,7.18102,3.66819
-12.0113,12.639,5.89511
-12.0113,12.639,5.89511
6.70119,18.1562,2.75002
